title,content
Accelerator and Technology Board,A&TB
Antiproton Accumulator,AA
Antiproton Accumulator Complex,AAC
Automatic Call Back,ACB
Advisory Committee of CERN Users,ACCU
Antiproton Collector,ACOL
Access Control Panel,ACP
Antiproton Decelerator,AD
Agencia de Inovacao S.A... (Portugal),ADI S.A.
PE Division Administrative and Social Services Group,ADS (PE-ADS)
Application Form,AF
Administrative Informatics Priorities Board,AIPB
Advanced Information Systems,AIS
AIS Management Review Board,AISMRB
Administrative Informatics User Interface Committee,AIUIC
Apparatus for LEP Physics (LEP Experiment),ALEPH
A Large Ion Collider Experiment - Heavy Ion at LHC,ALICE
CERN's Integrated Library System,ALICE
ALPHA,ALPHA
Agence Nationale pour l'Emploi (France),ANPE
Australian Nuclear Science and Technology Organization,ANSTO
Administrative Support Division,AS
Atomic Spectroscopy And Collisions Using Slow Antiprotons,ASACUSA
Accelerated Strategic Computing Initiative (US DOE programme),ASCI
Application Specific Integrated Circuits,ASIC
l'Association pour la Securite et l'Independance des Fonnctionnaires Internationaux,ASIFI (ASSICS)
Application Software Installation Server,ASIS
Administration Sector Meeting,ASM
Accelerator Technologies Division (present LHC Division),AT
A Toroidal LHC Apparatus (LHC Collaboration),ATLAS
Asynchronous Transfer Mode,ATM
Antihydrogen trap Experiment,ATRAP
Big European Bubble Chamber,BEBC
Budget Holder,BH
Budget Holder's Toolkit,BHT
Bureau International du Travail,BIT (ILO)
Budget Planning Group,BPG
Budget Planning and Related Issues (Group),BPRI
Computer Aided Design,CAD (CAO)
Computer Aided Manufacturing,CAM
Conception Assistee par Ordinateur,CAO (CAD)
CERN Accelerator School,CAS
Chinese Academy of Sciences,CAS
Corresponding Associate,CASS
Committee of Council,CC
Computing Coordination Committee,CCC
Consulting and Coordination Committee for Research,CCCR
Consultative Committee on Employment Conditions,CCEC
Comite de Concertation Permanent,CCP (SCC)
Coordination Committee for Research,CCR
Centre for Technological and Industrial Development (Spain),CDTI
Commissariat a l'Energie Atomique - Atomic Energy Agency (France),CEA
Cornell Electron Storage Ring,CESR
Confederation Francaise Democratique du Travail,CFDT
Communaute Genevoise d'Action Syndicale,CGAS
Comite de Gestion de Jardin d'Enfants,CGJE
Computing for High Energy Physics,CHEP
CERN Health Insurance Supervisory Board,CHISB
WA95 - Neutrino oscillation experiment,CHORUS
Control Information system Concepts based on Encapsulated Real-time Objects,CICERO
Comite de Liaison Administrative,CLA
CERN Linear Collider,CLIC
Capability Maturity Model,CMM
Compact Muon Solenoid (LHC Experiment),CMS
Computing and Networks Division (presently IT),CN
Computer Numerical Controlled,CNC
Conseil National de la Recherche Scientifique (FR),CNRS
Coordinated Organizations,CO
Career Path (MOAS),CP
Measurements of CP and T violation in the neutral kaon system and CPT tests,CP LEAR
CERN Review Committee ("Abragam Committee"),CRC
Cathode Strip Chambers,CSC
Consejo Superior de Investigaciones Cientificas (ES),CSIC
Cooperation Service Nationale,CSN
Comite de Surveillance des Restaurants (Restaurant Surveillance Committee),CSR
Closed Users' Group for GSM,CUG
Cost Variation Index,CVI
Demande d'Achat Interne,DAI
Divisional Administrative Officer,DAO
Data Acquisition,DAQ
Detector with Lepton, Photon and Hadron Identification (LEP Experiment),DELPHI
Diplome d'Etudes Superieures Specialisees,DESS
Deutsches Elektronen Synchrotron,DESY
Distributed File System,DFS
Director General,DG
CERN Directorate,DI
Member of Directorate,DM
Department of Energy (USA),DOE
Divisional Planning Officer,DPO
Detector Research and Development Committee,DRDC
Divisional Radiation Officer,DRO
Divisional Space Assistant,DSA
Divisional Space Manager,DSM
Divisional Safety Officer,DSO
Divisional Safety Officers' Committee,DSOC
Digital Signal Processor,DSP
Directorate Services Unit,DSU
Digital Tape Format,DTF
Desktop Forum,DTF
Divisional Training Officer,DTO
Divisional Webmasters' Group,DWG
Exceptional Advancement Zone (MOAS),EAZ
European Committee for Future Accelerators,ECFA
Electronics and Computing for Physics Division,ECP
Electromagnetic Dissociation,ED
PE Division Education Services Group,ED (PE-ED)
Electronic Document Handling,EDH
Electronic Document Handling for Administration,EDH ADMIN
Electronic Executive Board (ECP),EEB
Employment Enquiry Office (presently Recruitment Office),EEO
European Hybrid Spectrometer,EHS
Extra Low ENergy Antiproton,ELENA
European Molecular Biology Laboratory,EMBL
European Muon Collaboration,EMC
Exceptional Performance Award (MOAS),EPA
Electronic Pool Advisory Committee,EPAC
Ecole Polytechnique Federale de Lausanne,EPFL
Experimental Physics and Industrial Control System,EPICS
European Patent Office,EPO
European Physical Society,EPS
Engineering and Physical Sciences Research Council (UK),EPSRC
Electronic Pools Users' Forum,EPUF
European Space Agency,ESA
European Southern Observatory,ESO
European Synchrotron Radiation Facility (Grenoble),ESRF
Engineering Support and Technologies Division (ex-MT),EST
European Space Research Technical Centre (Noordwijk, Holland),ESTEC
Fellows, Associates and Students (PE),FAS
