title,content
Asmaa Abada,https://inspirehep.net/authors/1019104?format=json
Duccio Abbaneo,https://inspirehep.net/authors/1019096?format=json
Laurence F. Abbott,https://inspirehep.net/authors/1019089?format=json
Bilel Abdennadher,https://inspirehep.net/authors/1761032?format=json
Rabah Abdul Khalek,https://inspirehep.net/authors/1706729?format=json
Adam Abed Abud,https://inspirehep.net/authors/1636094?format=json
Oliver Aberle,https://inspirehep.net/authors/1076679?format=json
Daniel Abler,https://inspirehep.net/authors/1518730?format=json
Andrey Abramov,https://inspirehep.net/authors/1703368?format=json
Claude Achard,https://inspirehep.net/authors/1019002?format=json
Jean Achard,https://inspirehep.net/authors/1019001?format=json
Robert K. Adair,https://inspirehep.net/authors/1018981?format=json
Guy Adam,https://inspirehep.net/authors/1018978?format=json
Michael Aderholz,https://inspirehep.net/authors/1018944?format=json
Valerio Adorni,https://inspirehep.net/authors/1018928?format=json
Gilbert Adrian,https://inspirehep.net/authors/1018926?format=json
Oscar Adriani,https://inspirehep.net/authors/1018925?format=json
Marton Ady,https://inspirehep.net/authors/1651317?format=json
Jason Aebischer,https://inspirehep.net/authors/1515588?format=json
Yoav Afik,https://inspirehep.net/authors/1455823?format=json
Hossein Afsharnia,https://inspirehep.net/authors/1777877?format=json
Ilya Agapov,https://inspirehep.net/authors/1070157?format=json
Merve Nazlim Agaras,https://inspirehep.net/authors/1346575?format=json
Gianluca Aglieri Rinella,https://inspirehep.net/authors/1068481?format=json
Yolande Agnosini,https://inspirehep.net/authors/1018890?format=json
Angelos Agoritsas,https://inspirehep.net/authors/1018887?format=json
Vassilis Agoritsas,https://inspirehep.net/authors/1018886?format=json
Lorenzo Agostino,https://inspirehep.net/authors/1019323?format=json
Davide Aguglia,https://inspirehep.net/authors/1647638?format=json
O. Ahlén,https://inspirehep.net/authors/1272312?format=json
Ashfaq Ahmad,https://inspirehep.net/authors/1019796?format=json
Ahmed Abdirashid Ahmed,https://inspirehep.net/authors/1722679?format=json
Ijaz Ahmed,https://inspirehep.net/authors/1065563?format=json
Masamitsu Aiba,https://inspirehep.net/authors/1076243?format=json
Arif A. Akhoundov,https://inspirehep.net/authors/1018787?format=json
Arif A. Akhundov,https://inspirehep.net/authors/1259140?format=json
Abdelouahid Akroh,https://inspirehep.net/authors/1648040?format=json
Eric Albert,https://inspirehep.net/authors/1064600?format=json
Markus Albert,https://inspirehep.net/authors/1018741?format=json
Joel Albertone,https://inspirehep.net/authors/1646756?format=json
Jose Alberty,https://inspirehep.net/authors/1018735?format=json
Andreas Albrecht,https://inspirehep.net/authors/1887865?format=json
Erich Albrecht,https://inspirehep.net/authors/1018732?format=json
Johannes Albrecht,https://inspirehep.net/authors/1071729?format=json
Simon Albright,https://inspirehep.net/authors/1652607?format=json
Michael G. Albrow,https://inspirehep.net/authors/1018727?format=json
Juan Alcaraz Maestre,https://inspirehep.net/authors/1018724?format=json
Sara Alderweireldt,https://inspirehep.net/authors/1069025?format=json
Martin Aleksa,https://inspirehep.net/authors/1053226?format=json
Reyes Alemany-Fernandez,https://inspirehep.net/authors/1010128?format=json
Federico Alessio,https://inspirehep.net/authors/1070840?format=json
Calin Alexa,https://inspirehep.net/authors/1018688?format=json
Matteo Alfonsi,https://inspirehep.net/authors/1070839?format=json
Ahmed Ali,https://inspirehep.net/authors/1018650?format=json
Andrea Alici,https://inspirehep.net/authors/1068485?format=json
M. Alidra,https://inspirehep.net/authors/1064463?format=json
Juliette Alimena,https://inspirehep.net/authors/1068305?format=json
Simone Alioli,https://inspirehep.net/authors/1058528?format=json
Mohsen Alishahiha,https://inspirehep.net/authors/1018643?format=json
Louis Aliu,https://inspirehep.net/authors/1018641?format=json
Anton Alkin,https://inspirehep.net/authors/1068952?format=json
Benjamin C. Allanach,https://inspirehep.net/authors/1018633?format=json
Daniel Allard,https://inspirehep.net/authors/1018632?format=json
Brian Allardyce,https://inspirehep.net/authors/1018630?format=json
Paul Allen,https://inspirehep.net/authors/1018617?format=json
Herve Eugene Alleyn,https://inspirehep.net/authors/1018608?format=json
Juan Carlos Allica Santamaria,https://inspirehep.net/authors/1647182?format=json
Marie-Noelle Alliod,https://inspirehep.net/authors/1018605?format=json
Rodrigo Alonso,https://inspirehep.net/authors/1078516?format=json
Saul Alonso Monsalve,https://inspirehep.net/authors/1684083?format=json
Hadeel Alsayed,https://inspirehep.net/authors/1600161?format=json
Christoph Alt,https://inspirehep.net/authors/1591923?format=json
Jacques Altaber,https://inspirehep.net/authors/1018575?format=json
Guido Altarelli,https://inspirehep.net/authors/1018573?format=json
Kurt Altherr,https://inspirehep.net/authors/1018568?format=json
Barbara Alvarez Gonzalez,https://inspirehep.net/authors/1049112?format=json
Luis Alvarez-Gaume,https://inspirehep.net/authors/1018555?format=json
Rodrigo Ferreira,https://inspirehep.net/authors/1648633?format=json
Guilherme Amadio,https://inspirehep.net/authors/1061463?format=json
Nicola Amapane,https://inspirehep.net/authors/1030418?format=json
Daniele Amati,https://inspirehep.net/authors/1018518?format=json
Giovanna Ambrosini,https://inspirehep.net/authors/1018507?format=json
Yacine Amdidouche,https://inspirehep.net/authors/1018504?format=json
Chiara Amendola,https://inspirehep.net/authors/1498410?format=json
Giandomenico Amendola,https://inspirehep.net/authors/1018496?format=json
Alexandre Amorim Carvalho,https://inspirehep.net/authors/1652624?format=json
Gabriel Amoros,https://inspirehep.net/authors/1059728?format=json
Simone Amoroso,https://inspirehep.net/authors/1058682?format=json
